KELP_ID,FTRCD,RA,RI,LOCATION,FEATURE,SPECIES,BIOMASS,DENSITY,KLPCMMNT,SOURCE1,PROJECT,GEOMETRY,OBJECTID,AREA_SQM,FEAT_LEN,X_COORDINATE,Y_COORDINATE
137,,0,3,Zayas Island,,Bull Kelp,6,High,,,DUNDAS,,2808451,902.8394,143.5477,,
140,,0,3,Aranzazu Point,,Bull Kelp,6,High,,,DUNDAS,,2808452,902.2976,145.7076,,
141,,0,3,Zayas Island,,Bull Kelp,15,Low,,,DUNDAS,,2808453,5521.5277,420.1767,,
144,,0,3,Aranzazu Point,,Giant Kelp,3,Low,,,DUNDAS,,2808454,4650.0556,396.1428,,
146,,0,3,Zayas Island,,Bull Kelp,12,Low,,,DUNDAS,,2808455,4430.782,398.1241,,
148,,0,3,Zayas Island,,Bull Kelp,19,Low,,,DUNDAS,,2808456,6865.775,646.1696,,
150,,0,3,Zayas Island,,Bull Kelp,0,Low,,,DUNDAS,,2808457,0.4884,7.7305,,
152,,0,3,Aranzazu Point,,Bull Kelp,88,High,,,DUNDAS,,2808458,12000.0722,687.5368,,
153,,0,3,Zayas Island,,Bull Kelp,19,Low,,,DUNDAS,,2808459,6862.6282,529.6676,,
154,,0,3,Zayas Island,,Bull Kelp,11,Low,,,DUNDAS,,2808460,3995.4716,444.2156,,
158,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808461,31261.9998,627.5754,,
159,,0,3,Aranzazu Point,,Bull Kelp,9,Low,,,DUNDAS,,2808462,3487.6006,354.1978,,
162,,0,3,,,,0,,,,,,2808463,4247.3936,263,,
163,,0,3,Zayas Island,,Bull Kelp,53,High,,,DUNDAS,,2808464,7274.137,773.5296,,
164,,0,3,Zayas Island,,Giant Kelp,15,Low,,,DUNDAS,,2808465,21426.8859,1131.6262,,
165,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808466,24537.4346,587.4841,,
166,,0,3,Zayas Island,,Giant Kelp,9,High,,,DUNDAS,,2808467,4858.0725,337.1897,,
170,,0,3,,,,0,,,,,,2808468,6123.1034,343.1735,,
3,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808469,25609.8373,589.607,,
4,,3,1,,KELP,,0,,,CHS 3994,NCOAST,,2808470,22592.1767,562.595,,
8,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808471,27079.2136,596.9702,,
9,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808472,62238.9522,1144.6624,,
10,,3,1,,KELP,,0,,,CHS 3994,NCOAST,,2808473,20420.2311,563.4061,,
13,,3,1,,KELP,,0,,,CHS 3994,NCOAST,,2808474,20209.6021,581.6126,,
18,,3,1,,KELP,,0,,,CHS 3994,NCOAST,,2808475,18367.3026,595.6686,,
19,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808476,31261.9939,627.5754,,
20,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808477,31261.9998,627.5754,,
21,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808478,31262.0679,627.5761,,
28,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808479,31262.0618,627.576,,
29,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808480,25179.5426,588.9897,,
30,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808481,31262.0506,627.5759,,
32,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808482,31001.8654,626.9461,,
34,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808483,31261.9998,627.5754,,
35,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808484,26214.1172,599.5426,,
36,,3,2,,KELP,,0,,,CHS 3994,NCOAST,,2808485,31261.9909,627.5753,,
37,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808486,31262.0529,627.576,,
38,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808487,31261.9849,627.5753,,
40,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808488,31262.0659,627.5761,,
42,,3,1,,KELP,,0,,,CHS 3994,NCOAST,,2808489,16646.1223,547.6789,,
204,,0,3,Zayas Island,,Bull Kelp,321,High,,,DUNDAS,,2808561,43712.1981,1974.3275,,
206,,0,3,Zayas Island,,Bull Kelp,29,High,,,DUNDAS,,2808562,4004.8616,467.9563,,
211,,0,3,Zayas Island,,Bull Kelp,16,High,,,DUNDAS,,2808563,2307.3746,203.2916,,
214,,0,3,Zayas Island,,Bull Kelp,21,High,,,DUNDAS,,2808564,2983.6733,338.2853,,
215,,0,3,Zayas Island,,Bull Kelp,3,High,,,DUNDAS,,2808565,455.6042,131.1143,,
217,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808566,53344.0736,1124.5765,,
218,,0,3,Zayas Island,,Bull Kelp,168,High,,,DUNDAS,,2808567,22907.3095,1968.0208,,
220,,0,3,Zayas Island,,Bull Kelp,174,High,,,DUNDAS,,2808568,23810.5022,1683.1855,,
221,,0,3,Zayas Island,,Bull Kelp,7,Low,,,DUNDAS,,2808569,2599.8403,239.3521,,
222,,0,3,Zayas Island,,Bull Kelp,0,High,,,DUNDAS,,2808570,64.8123,54.1278,,
224,,0,3,,,,0,,,,,,2808571,7135.2189,320.2114,,
230,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808572,31261.9998,627.5754,,
231,,0,3,Zayas Island,,Bull Kelp,36,Low,,,DUNDAS,,2808573,13096.4597,1090.3168,,
233,,0,3,Zayas Island,,Bull Kelp,37,High,,,DUNDAS,,2808574,5080.4702,586.9755,,
234,,0,3,Zayas Island,,Bull Kelp,90,Low,,,DUNDAS,,2808575,32268.5687,1356.4464,,
235,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808576,30053.4713,703.4107,,
237,,0,3,Zayas Island,,Bull Kelp,8,High,,,DUNDAS,,2808577,1169.0859,181.6137,,
240,,0,3,Zayas Island,,Bull Kelp,33,High,,,DUNDAS,,2808578,4533.9563,361.3416,,
242,,0,3,Zayas Island,,Bull Kelp,20,High,,,DUNDAS,,2808579,2791.1234,284.8292,,
243,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808580,31262.0852,627.5763,,
245,,0,3,Zayas Island,,Mixed,3,Low,,,DUNDAS,,2808581,6019.6686,413.3783,,
246,,0,3,Zayas Island,,Bull Kelp,158,Low,,,DUNDAS,,2808582,56535.8593,2489.5924,,
247,,0,3,Zayas Island,,Bull Kelp,95,High,,,DUNDAS,,2808583,13025.189,878.4845,,
248,,0,3,Zayas Island,,Bull Kelp,31,High,,,DUNDAS,,2808584,4228.242,433.434,,
185,,0,3,Zayas Island,,Bull Kelp,204,High,,,DUNDAS,,2808536,27811.2281,1296.0321,,
186,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808537,31262.1011,627.5764,,
188,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808538,29253.2301,613.3065,,
189,,0,3,Zayas Island,,Bull Kelp,6,High,,,DUNDAS,,2808539,901.4016,196.6059,,
192,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808540,30708.2429,627.2291,,
194,,0,3,Zayas Island,,Bull Kelp,15,High,,,DUNDAS,,2808541,2163.6965,239.5185,,
195,,0,3,Zayas Island,,Bull Kelp,4,High,,,DUNDAS,,2808542,617.949,118.2174,,
198,,0,3,Zayas Island,,Bull Kelp,0,High,,,DUNDAS,,2808543,9.2126,34.7559,,
200,,0,3,,,,0,,,,,,2808544,740.8053,105.2261,,
201,,0,3,Zayas Island,,Bull Kelp,2,Low,,,DUNDAS,,2808545,844.7313,143.8816,,
202,,0,3,Aranzazu Point,,Giant Kelp,0,Low,,,DUNDAS,,2808546,52.8772,34.4962,,
249,,3,1,,KELP,,0,,,CHS 3960,NCOAST,,2808547,19120.0522,573.8086,,
254,,0,3,Zayas Island,,Bull Kelp,20,Low,,,DUNDAS,,2808548,7214.0202,731.2645,,
255,,0,3,Zayas Island,,Bull Kelp,18,High,,,DUNDAS,,2808549,2469.1697,245.8356,,
256,,0,3,Zayas Island,,Bull Kelp,106,High,,,DUNDAS,,2808550,14417.9121,880.1355,,
261,,0,3,Zayas Island,,Bull Kelp,13,High,,,DUNDAS,,2808551,1771.6361,208.3617,,
262,,0,3,Zayas Island,,Bull Kelp,11,High,,,DUNDAS,,2808552,1622.0706,201.1361,,
264,,0,3,Zayas Island,,Bull Kelp,30,Low,,,DUNDAS,,2808553,10689.6352,938.7417,,
267,,3,1,,KELP,,0,,,CHS 3960,NCOAST,,2808554,14546.5471,554.3088,,
268,,0,3,Zayas Island,,Bull Kelp,12,High,,,DUNDAS,,2808555,1753.6124,344.1239,,
269,,0,3,Zayas Island,,Bull Kelp,71,High,,,DUNDAS,,2808556,9771.1569,682.6954,,
270,,0,3,Zayas Island,,Bull Kelp,26,Low,,,DUNDAS,,2808557,9553.7791,506.2858,,
273,,0,3,Zayas Island,,Bull Kelp,169,High,,,DUNDAS,,2808558,23113.6,2115.8409,,
275,,0,3,Zayas Island,,Bull Kelp,16,Low,,,DUNDAS,,2808559,5718.7032,408.9472,,
203,,0,3,Zayas Island,,Giant Kelp,2,Low,,,DUNDAS,,2808560,2883.1021,274.1372,,
314,,0,3,Zayas Island,,Bull Kelp,76,Low,,,DUNDAS,,2808600,27134.3563,1612.8032,,
316,,3,2,Zayas Island,KELP,Mixed,4,Low,,CHS 3959,NCOAST,,2808601,882.6524,178.8156,,
398,,3,2,Zayas Island,KELP,Bull Kelp,57,Low,,CHS 3959,NCOAST,,2808602,10.1607,31.7087,,
399,,0,3,Zayas Island,,Bull Kelp,16,High,,,DUNDAS,,2808603,2209.7672,207.1302,,
400,,0,3,Zayas Island,,Giant Kelp,3,High,,,DUNDAS,,2808604,1843.0656,185.3007,,
401,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808605,31261.9998,627.5754,,
403,,0,3,Zayas Island,,Bull Kelp,8,Low,,,DUNDAS,,2808606,2937.881,209.3162,,
404,,0,3,Zayas Island,,Bull Kelp,21,Low,,,DUNDAS,,2808607,7669.7317,391.767,,
405,,3,2,Zayas Island,KELP,Bull Kelp,806,High,,CHS 3959,NCOAST,,2808608,10505.6602,424.0862,,
420,,0,3,Zayas Island,,Bull Kelp,42,Low,,,DUNDAS,,2808614,10552.704,538.9819,,
424,,0,3,Jacinto Point,,Bull Kelp,38,High,,,DUNDAS,,2808615,5230.0199,321.192,,
425,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808616,31262.0716,627.5761,,
428,,0,3,Jacinto Point,,Giant Kelp,7,High,,,DUNDAS,,2808617,3634.7703,319.8594,,
320,,0,3,Zayas Island,,Mixed,1,Low,,,DUNDAS,,2808618,2900.1704,249.8486,,
322,,3,2,Zayas Island,KELP,Bull Kelp,70,Low,,CHS 3959,NCOAST,,2808619,6444.0403,418.0589,,
323,,0,3,Zayas Island,,Bull Kelp,9,Low,,,DUNDAS,,2808620,3283.6781,274.0562,,
324,,0,3,Zayas Island,,Bull Kelp,137,High,,,DUNDAS,,2808621,1081.9616,152.069,,
325,,0,3,Zayas Island,,Bull Kelp,25,High,,,DUNDAS,,2808622,3507.8837,262.8147,,
327,,0,3,,,,0,,,,,,2808623,1.0514,6.1293,,
329,,3,2,Zayas Island,KELP,Bull Kelp,202,High,,CHS 3959,NCOAST,,2808624,10388.4449,498.2615,,
330,,0,3,Zayas Island,,Bull Kelp,202,High,,,DUNDAS,,2808625,791.9382,162.7131,,
332,,3,2,Zayas Island,KELP,Bull Kelp,202,High,,CHS 3959,NCOAST,,2808626,74.7882,44.2904,,
333,,0,3,,,,0,,,,,,2808627,77.9034,40.2393,,
334,,3,2,,KELP,,0,,,CHS 3959,NCOAST,,2808628,13517.9549,607.7305,,
339,,0,3,Zayas Island,,Bull Kelp,38,Low,,,DUNDAS,,2808629,13666.0524,675.928,,
342,,0,3,Zayas Island,,Bull Kelp,21,Low,,,DUNDAS,,2808630,7706.5322,607.8166,,
344,,0,3,Zayas Island,,Mixed,0,Low,,,DUNDAS,,2808631,1452.5435,159.4024,,
347,,0,3,Zayas Island,,Bull Kelp,6,High,,,DUNDAS,,2808632,919.9313,147.3289,,
348,,0,3,Zayas Island,,Bull Kelp,36,High,,,DUNDAS,,2808633,523.0138,142.3668,,
351,,3,2,Zayas Island,KELP,Bull Kelp,6,High,,CHS 3959,NCOAST,,2808634,665.756,191.1042,,
352,,0,3,Jacinto Point,,Bull Kelp,5,Low,,,DUNDAS,,2808635,2129.343,233.4746,,
354,,3,2,Zayas Island,KELP,Giant Kelp,40,Low,,CHS 3959,NCOAST,,2808636,24817.3954,635.2537,,
355,,0,3,Zayas Island,,Giant Kelp,40,Low,,,DUNDAS,,2808637,20378.4048,743.9966,,
357,,0,3,Zayas Island,,Bull Kelp,14,Low,,,DUNDAS,,2808638,4984.6276,522.1347,,
358,,0,3,Zayas Island,,Giant Kelp,40,Low,,,DUNDAS,,2808639,5271.4893,388.76,,
359,,0,3,Zayas Island,,Bull Kelp,6,High,,,DUNDAS,,2808640,933.7669,147.2567,,
361,,0,3,Zayas Island,,Bull Kelp,150,Low,,,DUNDAS,,2808641,34770.5131,2310.2508,,
364,,0,3,Jacinto Point,,Bull Kelp,9,Low,,,DUNDAS,,2808642,3267.1981,224.5458,,
365,,0,3,Zayas Island,,Bull Kelp,0,Low,,,DUNDAS,,2808643,130.5592,47.7067,,
366,,0,3,Zayas Island,,Bull Kelp,806,High,,,DUNDAS,,2808644,94533.2474,3119.91,,
371,,3,2,Zayas Island,KELP,Bull Kelp,806,High,,CHS 3959,NCOAST,,2808645,4704.3099,326.5505,,
373,,0,3,Zayas Island,,Bull Kelp,4,Low,,,DUNDAS,,2808646,1703.3977,200.5624,,
374,,0,3,Jacinto Point,,Bull Kelp,28,Low,,,DUNDAS,,2808647,10229.5657,673.6117,,
407,,0,3,Jacinto Point,,Giant Kelp,138,Low,,,DUNDAS,,2808609,174664.85,2744.6505,,
416,,3,2,Zayas Island,KELP,Bull Kelp,42,Low,,CHS 3959,NCOAST,,2808610,4403.5709,315.3861,,
417,,0,3,Zayas Island,,Bull Kelp,35,Low,,,DUNDAS,,2808611,5001.6331,320.7734,,
418,,0,3,Zayas Island,,Giant Kelp,6,Low,,,DUNDAS,,2808612,8543.7658,594.4843,,
419,,3,2,,KELP,,0,,,CHS 3959,NCOAST,,2808613,1631.7919,171.9411,,
279,,0,3,Zayas Island,,Giant Kelp,4,Low,,,DUNDAS,,2808585,6142.186,652.3599,,
281,,0,3,Zayas Island,,Giant Kelp,25,Low,,,DUNDAS,,2808586,35447.6394,915.563,,
284,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808587,31262.0986,627.5764,,
285,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808588,25940.541,638.6783,,
287,,0,3,Zayas Island,,Mixed,4,Low,,,DUNDAS,,2808589,8831.7671,716.4149,,
290,,0,3,Zayas Island,,Mixed,5,Low,,,DUNDAS,,2808590,10445.8541,531.5254,,
292,,0,3,Zayas Island,,Bull Kelp,137,High,,,DUNDAS,,2808591,2866.1998,354.4807,,
293,,0,3,Zayas Island,,Bull Kelp,99,Low,,,DUNDAS,,2808592,34126.0288,967.834,,
294,,0,3,Zayas Island,,Bull Kelp,36,Low,,,DUNDAS,,2808593,3617.3977,373.9966,,
299,,3,2,,KELP,,0,,,CHS 3959,NCOAST,,2808594,2.131,10.148,,
300,,0,3,Zayas Island,,Bull Kelp,137,High,,,DUNDAS,,2808595,5.536,11.283,,
302,,0,3,Zayas Island,,Giant Kelp,4,Low,,,DUNDAS,,2808596,6187.3094,355.2809,,
307,,3,2,Zayas Island,KELP,Bull Kelp,36,Low,,CHS 3959,NCOAST,,2808597,35.4718,27.3682,,
309,,0,3,Zayas Island,,Bull Kelp,8,Low,,,DUNDAS,,2808598,2977.6604,399.6582,,
312,,0,3,Zayas Island,,Bull Kelp,70,Low,,,DUNDAS,,2808599,6355.0012,429.47,,
516,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808673,31262.0659,627.5761,,
518,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808674,31262.0523,627.5759,,
519,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808675,31262.0942,627.5764,,
522,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808676,31261.9998,627.5754,,
429,,0,3,Zayas Island,,Bull Kelp,145,Low,,,DUNDAS,,2808677,35881.091,1530.2337,,
431,,0,3,Jacinto Point,,Bull Kelp,114,Low,,,DUNDAS,,2808678,40611.9734,1891.7091,,
434,,0,3,Jacinto Point,,Giant Kelp,54,Low,,,DUNDAS,,2808679,75719.2429,2961.9265,,
436,,3,2,Zayas Island,KELP,Bull Kelp,145,Low,,CHS 3959,NCOAST,,2808680,12493.3289,657.6278,,
439,,3,2,Zayas Island,KELP,Bull Kelp,356,High,,CHS 3959,NCOAST,,2808681,14582.9436,585.5912,,
442,,0,3,,,,0,,,,,,2808682,937.5552,127.0202,,
443,,0,3,Jacinto Point,,Bull Kelp,357,Low,,,DUNDAS,,2808683,127282.5697,4088.5469,,
448,,3,2,Zayas Island,KELP,Bull Kelp,356,High,,CHS 3959,NCOAST,,2808684,1071.1145,198.7435,,
451,,3,2,Jacinto Point,KELP,Giant Kelp,138,Low,,CHS 3959,NCOAST,,2808685,15171.2311,695.0831,,
452,,0,3,Jacinto Point,,Bull Kelp,74,Low,,,DUNDAS,,2808686,24381.4974,982.0469,,
453,,0,3,Jacinto Point,,Bull Kelp,1339,High,,,DUNDAS,,2808687,182283.4489,4938.0214,,
456,,0,3,,,,0,,,,,,2808688,7815.0269,534.9696,,
459,,3,2,,KELP,,0,,,CHS 3959,NCOAST,,2808689,11066.1111,508.751,,
460,,3,2,Zayas Island,KELP,Bull Kelp,356,High,,CHS 3959,NCOAST,,2808690,7812.034,537.4426,,
461,,0,3,Jacinto Point,,Giant Kelp,16,High,,,DUNDAS,,2808691,7716.4527,425.917,,
463,,3,2,Jacinto Point,KELP,Bull Kelp,441,High,,CHS 3959,NCOAST,,2808692,1378.9373,151.7147,,
464,,0,3,Jacinto Point,,Bull Kelp,441,High,,,DUNDAS,,2808693,42186.7376,2170.7456,,
465,,3,2,,KELP,,0,,,CHS 3959,NCOAST,,2808694,17708.9228,679.6543,,
375,,3,2,Zayas Island,KELP,Bull Kelp,43,Low,,CHS 3959,NCOAST,,2808648,4154.3997,310.9969,,
379,,0,3,Zayas Island,,Bull Kelp,7,Low,,,DUNDAS,,2808649,2772.4641,273.469,,
381,,0,3,Zayas Island,,Mixed,3,Low,,,DUNDAS,,2808650,5091.4147,398.446,,
382,,0,3,Zayas Island,,Bull Kelp,486,High,,,DUNDAS,,2808651,10329.0285,492.0156,,
383,,0,3,,,,0,,,,,,2808652,12619.7845,690.8424,,
384,,0,3,Jacinto Point,,Bull Kelp,111,High,,,DUNDAS,,2808653,15182.8229,1203.3154,,
390,,3,2,Zayas Island,KELP,Bull Kelp,486,High,,CHS 3959,NCOAST,,2808654,7134.201,423.746,,
391,,0,3,Zayas Island,,Bull Kelp,150,Low,,,DUNDAS,,2808655,0.1292,1.9737,,
485,,3,2,Jacinto Point,KELP,Bull Kelp,441,High,,CHS 3959,NCOAST,,2808656,16449.6399,502.6375,,
489,,3,2,Zayas Island,KELP,Bull Kelp,60,Low,,CHS 3959,NCOAST,,2808657,1496.0875,202.3003,,
490,,3,2,Jacinto Point,KELP,Bull Kelp,1,Low,,CHS 3959,NCOAST,,2808658,539.3301,112.7018,,
491,,3,2,,KELP,,0,,,CHS 3959,NCOAST,,2808659,11721.6326,462.1514,,
493,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808660,31262.0812,627.5762,,
494,,0,3,Jacinto Point,,Bull Kelp,105,High,,,DUNDAS,,2808661,14322.0776,581.382,,
495,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808662,31262.1013,627.5764,,
497,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808663,31229.8913,627.6659,,
498,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808664,31262.0659,627.5761,,
500,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808665,31262.1013,627.5764,,
501,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808666,31262.0942,627.5764,,
502,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808667,31261.9998,627.5754,,
506,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808668,26970.2337,607.94,,
507,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808669,31262.0942,627.5764,,
511,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808670,31261.9909,627.5753,,
512,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808671,31262.1075,627.5765,,
515,,3,2,,KELP,,0,,,CHS 3960,NCOAST,,2808672,31262.0542,627.576,,
532,,3,2,,KELP,,0,,,CHS 3963,NCOAST,,2808711,28738.4385,615.1046,,
534,,3,2,,KELP,,0,,,CHS 3959,NCOAST,,2808712,31262.0678,627.5761,,
540,,0,3,,,,0,,,,,,2808713,11134.3005,539.6051,,
543,,0,3,Dundas Island,,Bull Kelp,24,Low,,,DUNDAS,,2808714,9425.8892,496.0103,,
545,,0,3,Dundas Island,,Bull Kelp,31,Low,,,DUNDAS,,2808715,11911.7144,723.1768,,
